,Recipe,Ingredient
788,Unbelievable Rolls,yeast
789,Unbelievable Rolls,flour
790,Unbelievable Rolls,margarine
791,Pecan Sticky Buns,yeast
792,Pecan Sticky Buns,water
793,Pecan Sticky Buns,buttermilk
794,Pecan Sticky Buns,egg
795,Pecan Sticky Buns,flour
796,Pecan Sticky Buns,margarine
797,Pecan Sticky Buns,sugar
798,Pecan Sticky Buns,salt
799,Pecan Sticky Buns,butter
800,Pecan Sticky Buns,sugar
801,Pecan Sticky Buns,cinnamon
802,Pecan Sticky Buns,pecan
803,Pecan Sticky Buns,brown sugar
804,Pecan Sticky Buns,butter
805,Challah I,water
806,Challah I,yeast
807,Challah I,honey
808,Challah I,vegetable
809,Challah I,egg
810,Challah I,salt
811,Challah I,flour
812,Tasty Buns,flour
813,Tasty Buns,yeast
814,Tasty Buns,milk
815,Tasty Buns,water
816,Tasty Buns,vegetable
817,Tasty Buns,sugar
818,Tasty Buns,salt
819,Breakfast Muffins,flour
820,Breakfast Muffins,sugar
821,Breakfast Muffins,salt
822,Breakfast Muffins,milk
823,Breakfast Muffins,egg
824,Breakfast Muffins,butter
825,Breakfast Muffins,berries
